Hotel_Name_City,Review_Title,Review_Overall_Rating,Review_Date,date_of_review,Review_Content,Medium_of_Review,Month_of_Visit,Review_Type,Rating_Value,Rating_Location,Rating_Sleep_Quality,Rating_Rooms,Rating_Cleanliness,Rating_Service,Reviewer_Name,Reviewer_Location,Total_Reviews_by_Reviewer,Total_Hotel_Reviews_by_Reviewer,Reviews_in_Cities,Total_Helpful_Votes,Helpful_Votes_this_review,Room_Tips,Response_to_Review,Response_to_Review_Date,Review_collected_in_partnership,Page_URL
Bombay Hotel Jaipur,“Very nice place to stay!”,3,8/26/2014,8/26/2014,This place is very nice to stay; close to the railway station. The owners are the best and will help you with all your questions. We would definitely recommend this place! We were there during teej festival; there is a place in the neighbourhood where you can celebrate.,via Web,Aug-14,with family,3,4,NA,NA,NA,3,tonybhai,"Jaipur, Rajasthan, India",1,NA,NA,NA,NA,Room Tip: Higher floors Corner suites are large and sunny,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g304555-d3674228-r224573442-Bombay_Hotel-Jaipur_Rajasthan.html#CHECK_RATES_CONT
Bombay Hotel Jaipur,“Horrible”,1,06-02-2013,06/02/2013,The staff was very nice. But the rooms are a nightmare. It wouldn't be SO bad if they simply cleaned. Rooms smelled like a sewer. Bed sheets had holes and were brown with use. The doors are odd too; they don't seem very secure.,via mobile,Jun-13,NA,1,2,NA,1,1,3,Donald H,"Bowling Green, Kentucky, United States",4,NA,3,1,3,NA,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g304555-d3674228-r162753833-Bombay_Hotel-Jaipur_Rajasthan.html#CHECK_RATES_CONT
Coffea Aroma Resort - Wayanad Meppadi,“Very Poor Customer Service”,2,10/20/2014,10/20/2014,We were here for a weekend with college friends. The place matched our requirements as it was remote (3+ kms from main road) and there is a natural waterfall on the side of the resort itself. That was the only good thing. Everything else was poor to terrible.1) Customer Service - very poor. There was no proper response for any requests. Everything arrived late or never.2) Cottages - not at all maintained. Rooms were not cleaned and bathroom had no soap but a stinking bath towel.3) Food was the worst part of it. Even coffee and tea was tasting really horrible. Everything was made just enough and of below average taste.Overall I do not recommend this place to anyone. Even if you want to booze out a weekend; unless the food and place to sleep is not good; you can't enjoy it. Stay away from this resort.,via Web,Oct-14,with friends,2,NA,NA,2,NA,1,summerkoya,"Trivandrum, India",1,NA,NA,NA,NA,NA,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g1232778-d1970382-r235378924-Coffea_Aroma_Resort_Wayanad-Kalpetta_Wayanad_District_Kerala.html#CHECK_RATES_CONT
Coffea Aroma Resort - Wayanad Meppadi,“A Decent Stay!!!”,3,9/29/2014,9/29/2014,A decent place to hangout. Food is not all that great!! Leeches all around!! But the waterfall inside the area was the best part of the stay. Frequent power cut problems. Not to improve a lot. But can be made into a fantastic one. Staff are very nice. Price is quite affordable. + : Waterfall and location- : FOOD!!!,via Web,Sep-14,with friends,NA,4,NA,NA,3,3,Karthick M,,1,NA,NA,NA,NA,NA,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g1232778-d1970382-r231549821-Coffea_Aroma_Resort_Wayanad-Kalpetta_Wayanad_District_Kerala.html#CHECK_RATES_CONT
Coffea Aroma Resort - Wayanad Meppadi,“Nothing Great about this place”,3,09-03-2014,09/03/2014,I had been to this place in July '14 for my first anniversary after seeing reviews in tripadvisor. It was on 4.5 stars then and at the time of writing this review; it has dropped to 4. Reason being; there is nothing great about this place. The accommodation is average; with lots of cobwebs in the ceiling. I first took the wood house for the first night & then shifted to the Bamboo house for the second because I didn't like the wood house. But the Bamboo house too turned out to be a dampener.The saving grace was the waterfall in the property & the excellent food served there. Apart from these things; I would suggest you to look at alternate resorts.,via Web,Jul-14,as a couple,NA,NA,3,2,NA,5,suddensandy,"Bangalore, India",2,NA,2,NA,NA,Room Tip: Don't even think about the honeymoon suite.,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g1232778-d1970382-r226661809-Coffea_Aroma_Resort_Wayanad-Kalpetta_Wayanad_District_Kerala.html#CHECK_RATES_CONT
Coffea Aroma Resort - Wayanad Meppadi,“Not a good place for family”,2,08-03-2014,08/03/2014,I will not recommend this for family trip .I choose this resort based on the rating from Tripadvisor but it is surely over rated .There was no security;no reception and not even proper staffs. Rooms were below average (Twin Cottage ) and not even having proper storage space and a ceiling fan . We checked in on a Sunday and checked out on a Monday . Since majority of their rooms were vacant they didn't prepare buffet food for us and prepared separate food which I will rate as below average .Only good thing about this resort is the waterfall which is passing through the plantation area.But I will not recommend anyone to choose this resort only for that Waterfall.,via Web,Jul-14,with family,2,3,NA,NA,NA,2,Rosmem,"Bangalore, India",5,5,4,8,7,Room Tip: I will not recommend this resort,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g1232778-d1970382-r219239267-Coffea_Aroma_Resort_Wayanad-Kalpetta_Wayanad_District_Kerala.html#CHECK_RATES_CONT
Coffea Aroma Resort - Wayanad Meppadi,“Not as good as review on TripAdvisor..”,3,7/22/2014,7/22/2014,I and wife had booked 2 night and 3 day stay. It was raining all the time. The resort is around couple of kilometres to the top from main road. They will take you in their Jeep. Food was very very basic. Plain rice; daal; chapathi and sabzi which looked like daal. Since it was raining lot of leeches around the resort. Had to be careful all the while. People were friendly and very nice.But seriously nothing great to write about it. Place looked mostly empty. Advice: pay bit more and go for vythri village; vythri resort or any other established ones..,via Web,Jul-14,as a couple,NA,NA,NA,NA,NA,NA,me_vj01,"Bangalore, India",1,NA,NA,5,5,NA,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g1232778-d1970382-r216797665-Coffea_Aroma_Resort_Wayanad-Kalpetta_Wayanad_District_Kerala.html#CHECK_RATES_CONT
Coffea Aroma Resort - Wayanad Meppadi,“Breathtaking location !”,4,06-06-2014,06/06/2014,The resort has a fantastic location - right in the middle of hundreds of acres of coffee plantations and forest. To reach the hotel; you have to travel 3.5 Kms on a dirt road; meant for SUVs / four-wheelers. Wild elephants often cross this dirt road and the management advises guests to return while there is daylight (which was 6.00 pm in May). The flip side is that you are forced to have dinner at the hotel which has limited fare; depending on the occupancy. The resort has a waterfall (tiny in May) within the resort premises. Surprisingly for a coffee plantation resort; the coffee served was hardly worth mentioning! The staff; while keen to help; requires training and has limited language range (unless you are familiar with a South Indian language!).Feedback for management: Need to train the staff on housekeeping (had to ask for towels - and when they were provided; had to ask once again for toiletaries which are pathetic for the room charges). Need to improve the quality of meals compared to the charges (Rs 200 per person for dinner) - excellent breakfast provided.,via Web,Jun-14,with family,4,5,5,3,3,3,RoadrunnerMumbai,Mumbai,5,3,3,2,1,Room Tip: If you like to sleep with a background noise of a falling water; choose cottages B1 / B2. If you are...,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g1232778-d1970382-r209097681-Coffea_Aroma_Resort_Wayanad-Kalpetta_Wayanad_District_Kerala.html#CHECK_RATES_CONT
Coffea Aroma Resort - Wayanad Meppadi,“Great resort”,5,05-05-2014,05/05/2014,Had been to Coffea Aroma resort the first weekend of May and stayed for two nights in the Bamboo cottage.The resort lies inside a coffee estate and gives you this very good feel about being amidst nature. The Bamboo cottage added to this feel.Staff is very courteous. All you have to do is ask and they will be ready to help you out. It rained heavily one of the evenings we were there and we were served hot onion Pakodas on request. Dinner and breakfast were also very delicious. Limited variety; but tasty nonetheless. What more would you expect of a resort in the middle of the forest.The resort is about 4 kms away from the main road saw mill stop. The road to get to the estate is unpaved and a little adventurous. Might be difficult to do this stretch during peak monsoons; But on regular days; even a Maruti 800 would be able to do it without breaking a sweat. In case you are the type who wouldn't want to drive there; they will arrange for their jeep to pick you up and also provide for a parking spot near the main road.There is a stream running right next to the resort which would be an amazing sight to watch during peak monsoons. Water levels weren't really high when we were there as the monsoon hadn't set in yet.They also have a small open area with Carroms; TT and Shuttle cock to play with and a small trampoline for the kids. They also have a natural pool formed by the water from the stream.Perfect getaway from the city hustle.,via Web,May-14,as a couple,5,5,5,4,4,5,ashwinbhatt,"Bangalore, India",10,9,9,3,1,NA,NA,NA,NA,http://www.tripadvisor.in/ShowUserReviews-g1232778-d1970382-r204083438-Coffea_Aroma_Resort_Wayanad-Kalpetta_Wayanad_District_Kerala.html#CHECK_RATES_CONT
Coffea Aroma Resort - Wayanad Meppadi,“Very good hospitality”,4,4/30/2014,4/30/2014,Visited in end april'14. Very friendly staff and excellent food. They try to accomodate your requests for specific menu too. Set inside the coffee estate; and beside the water falls (though the water level was very low when I visited); this place is certainly for those who want to get away from the bustling city. Rooms are average and needs some maintenance; but they make it up with their excellent hospitality. Tips: It is 2-3 km inside the estate from main road and I had a tough time driving inside (boards are not well placed). The resort can arrange a safe parking on the main road and drive you to the suites by jeep. Use directions given by the resort website. I used Google maps which took me through a treacherous road.,via Web,Apr-14,with family,4,4,3,3,3,5,pshankarm,"Bangalore, India",5,5,5,5,NA,NA,NA,NA,Yes,http://www.tripadvisor.in/ShowUserReviews-g1232778-d1970382-r203401849-Coffea_Aroma_Resort_Wayanad-Kalpetta_Wayanad_District_Kerala.html#CHECK_RATES_CONT
