Slno,MF,Age,ProfessionBusiness,UrbanRural,RecipientOperator,SI,SwBh,Servqual,Sat,PSB,ESB,OSB,Price,SInt
1,Male,35,Employee,Rural,Vodafone,4,1,3.159848301,2.87371134,2.801640927,1.662523901,3.550405562,5,5.590945195
2,Male,23,Employee,Rural,Idea,4,1,2.60590656,3.021907216,2.955598456,2.476577438,3.550405562,4.829190056,6
3,Male,42,Employee,Urban,Airtel,5,1,3.513677076,2.862113402,4.687258687,3.092256214,4.329084589,5.193263833,5.409054805
4,Male,28,Employee,Urban,Vodafone,5,1,3.959896716,1.413659794,5.332528958,4.628107075,3.772112785,5.19967923,6.409054805
5,Male,34,Business,Rural,Idea,5,1,6.08488663,2.988402062,5,2.290630975,4.329084589,4.981555734,5.409054805
6,Male,30,Govt Employee,Rural,Airtel,4,1,5.010489793,2.988402062,2.801640927,2.476577438,3.329084589,5.38893344,5.590945195
7,Male,58,Farmer,Rural,Airtel,4,1,1.7723715,2.988402062,2.332528958,5.104684512,3.757049054,5.193263833,5
8,Male,30,Employee,Rural,Vodafone,5,1,2.684983458,2.988402062,5.332528958,3.767208413,5.221707223,6,3.818109611
9,Male,38,Govt Employee,Rural,Vodafone,5,1,4.259662713,3.862113402,3.977799228,5.104684512,4.118578602,5.607056937,3.818109611
10,Male,18,Student,Rural,Vodafone,2,1,3.900992496,3.149484536,2.801640927,3.767208413,1.858246427,5.607056937,4.954725973
11,Male,27,Employee,Urban,Vodafone,2,1,3.597595417,2.87371134,3.865830116,2.290630975,2.415218231,5.829190056,4.363780778
12,Male,29,Business,Rural,Airtel,5,1,2.953683531,3.021907216,2.35472973,2.476577438,4.107763615,6,5
13,Male,54,Farmer,Rural,Vodafone,3,1,2.345679012,2.12628866,2.35472973,5.104684512,3.76786404,5.58861267,4.772835584
14,Male,40,Business,Rural,Tata Docomo,5,1,1.59122085,1.413659794,5.511100386,3.767208413,4.107763615,5.80032077,5
15,Male,25,Student,Rural,Vodafone,3,1,3.165900105,2.988402062,5.511100386,5.104684512,3.76786404,6.607056937,4.772835584
16,Male,38,Employee,Rural,Airtel,3,1,3.165900105,4.036082474,5.843629344,3.767208413,2.972190035,5.781876504,3.772835584
17,Male,25,Employee,Rural,Vodafone,3,1,4.299201162,1.448453608,5.843629344,2.662523901,3.261877173,5.417802727,5.590945195
18,Male,24,Employee,Urban,Vodafone,4,1,3.386589204,2.161082474,5.843629344,3.489005736,3.329084589,6.417802727,5.590945195
19,Male,23,Student,Rural,Aircel,2,0,4.299201162,3.735824742,5,2.337476099,1.857860178,6.38893344,5.363780778
20,Male,41,Employee,Rural,Vodafone,5,1,3.126361656,3.573453608,2.35472973,2.151529637,3.550405562,5.193263833,6
21,Male,39,Govt Employee,Rural,Airtel,5,1,3.959896716,3.735824742,5.511100386,4.628107075,3.550405562,6.193263833,5.409054805
22,Male,32,Business,Rural,Vodafone,5,1,6.08488663,3.573453608,5,2.290630975,3.550405562,6.370489174,6
23,Male,30,Employee,Rural,Airtel,5,1,5.010489793,3.573453608,5.843629344,2.476577438,3.550405562,5.607056937,5.409054805
24,Male,28,Employee,Urban,Airtel,5,1,1.7723715,3.735824742,2.35472973,5.104684512,4.329084589,5.392943063,6
25,Male,27,Student,Rural,Videocon,5,1,2.684983458,3.573453608,5.511100386,3.767208413,3.772112785,6.392943063,5.409054805
26,Male,27,Business,Rural,Idea,4,1,4.259662713,2.87371134,5,3.767208413,2.972190035,5.635926223,5.590945195
27,Male,30,Govt Employee,Rural,Idea,4,1,3.900992496,3.021907216,5.843629344,2.662523901,3.261877173,5.80032077,6
28,Male,31,Business,Rural,Idea,5,0,4.259662713,2.862113402,5.332528958,3.489005736,2.350328312,5.804330393,5.409054805
29,Male,32,Business,Rural,Airtel,5,1,3.900992496,1.413659794,5.843629344,2.337476099,1.857860178,5.80032077,6.409054805
30,Male,27,Employee,Urban,TATA DOCOMO,5,1,3.597595417,2.988402062,5,2.151529637,3.550405562,6.195669607,5.409054805
31,Male,48,Govt Employee,Urban,Idea,4,1,2.953683531,2.988402062,2.35472973,4.628107075,4.118578602,5.582197273,5.590945195
32,Male,18,Student,Rural,Idea,4,1,2.345679012,2.988402062,5.511100386,2.290630975,1.858246427,5.58861267,5
33,Male,23,Student,Urban,Tata Docomo,5,1,1.59122085,2.988402062,5,1.662523901,2.415218231,6.19967923,3.818109611
34,Male,33,Business,Rural,Vodafone,5,1,3.165900105,3.862113402,5.843629344,2.476577438,4.107763615,6.024859663,3.818109611
35,Male,34,Business,Rural,Idea,3,1,3.165900105,3.149484536,4.374517375,3.092256214,3.76786404,5.61106656,4.772835584
