"","type","text"
"1","ham","Hope you are having a good week. Just checking in"
"2","ham","K..give back my thanks."
"3","ham","Am also doing in cbe only. But have to pay."
"4","spam","complimentary 4 STAR Ibiza Holiday or £10,000 cash needs your URGENT collection. 09066364349 NOW from Landline not to lose out! Box434SK38WP150PPM18+"
"5","spam","okmail: Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm"
"6","ham","Aiya we discuss later lar... Pick u up at 4 is it?"
"7","ham","Are you this much buzy"
"8","ham","Please ask mummy to call father"
"9","spam","Marvel Mobile Play the official Ultimate Spider-man game (£4.50) on ur mobile right now. Text SPIDER to 83338 for the game & we ll send u a FREE 8Ball wallpaper"
"10","ham","fyi I'm at usf now, swing by the room whenever"
"11","ham","Sure thing big man. i have hockey elections at 6, shouldn€˜t go on longer than an hour though"
"12","ham","I anything lor..."
"13","ham","By march ending, i should be ready. But will call you for sure. The problem is that my capital never complete. How far with you. How's work and the ladies"
"14","ham","Hmm well, night night "
"15","ham","K I'll be sure to get up before noon and see what's what"
"16","ham","Ha ha cool cool chikku chikku:-):-DB-)"
"17","ham","Darren was saying dat if u meeting da ge den we dun meet 4 dinner. Cos later u leave xy will feel awkward. Den u meet him 4 lunch lor."
"18","ham","He dint tell anything. He is angry on me that why you told to abi."
"19","ham","Up to u... u wan come then come lor... But i din c any stripes skirt..."
"20","spam","U can WIN £100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.ldew.com SkillGame,1Winaweek, age16.150ppermessSubscription"
"21","ham","2mro i am not coming to gym machan. Goodnight."
"22","ham","ARR birthday today:) i wish him to get more oscar."
"23","ham","Reading gud habit.. Nan bari hudgi yorge pataistha ertini kano:-)"
"24","ham","I sent my scores to sophas and i had to do secondary application for a few schools. I think if you are thinking of applying, do a research on cost also. Contact joke ogunrinde, her school is one me the less expensive ones"
"25","ham","Could you not read me, my Love ? I answered you"
"26","ham","So what did the bank say about the money?"
"27","ham","Well if I'm that desperate I'll just call armand again"
"28","ham","Fuuuuck I need to stop sleepin, sup"
"29","ham","So how's the weather over there?"
