Date,EmployedWomen
1/1/1964,14296
2/1/1964,14339
3/1/1964,14448
4/1/1964,14513
5/1/1964,14615
6/1/1964,14809
7/1/1964,14750
8/1/1964,14945
9/1/1964,15118
10/1/1964,15160
11/1/1964,15281
12/1/1964,15637
1/1/1965,14899
2/1/1965,14909
3/1/1965,15010
4/1/1965,15244
5/1/1965,15321
6/1/1965,15543
7/1/1965,15542
8/1/1965,15746
9/1/1965,15939
10/1/1965,16093
11/1/1965,16229
12/1/1965,16623
1/1/1966,15915
2/1/1966,15973
3/1/1966,16137
4/1/1966,16369
5/1/1966,16511
6/1/1966,16796
7/1/1966,16710
8/1/1966,16952
9/1/1966,17122
10/1/1966,17277
11/1/1966,17426
12/1/1966,17791
1/1/1967,17056
2/1/1967,17021
3/1/1967,17143
4/1/1967,17203
5/1/1967,17309
6/1/1967,17510
7/1/1967,17439
8/1/1967,17629
9/1/1967,17825
10/1/1967,17937
11/1/1967,18141
12/1/1967,18503
1/1/1968,17684
2/1/1968,17725
3/1/1968,17852
4/1/1968,18064
5/1/1968,18152
6/1/1968,18440
7/1/1968,18357
8/1/1968,18604
9/1/1968,18764
10/1/1968,18950
11/1/1968,19166
12/1/1968,19495
1/1/1969,18769
2/1/1969,18804
3/1/1969,18961
4/1/1969,19169
5/1/1969,19336
6/1/1969,19582
7/1/1969,19503
8/1/1969,19689
9/1/1969,19792
10/1/1969,19958
11/1/1969,20057
12/1/1969,20365
1/1/1970,19594
2/1/1970,19586
3/1/1970,19709
4/1/1970,19768
5/1/1970,19793
6/1/1970,19902
7/1/1970,19742
8/1/1970,19818
9/1/1970,19958
10/1/1970,19962
11/1/1970,20047
12/1/1970,20346
1/1/1971,19592
2/1/1971,19525
3/1/1971,19641
4/1/1971,19792
5/1/1971,19961
6/1/1971,20139
7/1/1971,19926
8/1/1971,20086
9/1/1971,20285
10/1/1971,20372
11/1/1971,20548
12/1/1971,20865
1/1/1972,20182
2/1/1972,20173
3/1/1972,20346
4/1/1972,20535
5/1/1972,20676
6/1/1972,20949
7/1/1972,20717
8/1/1972,20969
9/1/1972,21136
10/1/1972,21357
11/1/1972,21637
12/1/1972,21957
1/1/1973,21272
2/1/1973,21338
3/1/1973,21485
4/1/1973,21754
5/1/1973,21935
6/1/1973,22170
7/1/1973,21928
8/1/1973,22224
9/1/1973,22480
10/1/1973,22733
11/1/1973,22961
12/1/1973,23228
1/1/1974,22485
2/1/1974,22445
3/1/1974,22598
4/1/1974,22810
5/1/1974,23039
6/1/1974,23213
7/1/1974,23043
8/1/1974,23188
9/1/1974,23385
10/1/1974,23481
11/1/1974,23445
12/1/1974,23396
1/1/1975,22469
2/1/1975,22296
3/1/1975,22321
4/1/1975,22452
5/1/1975,22661
6/1/1975,22849
7/1/1975,22775
8/1/1975,23053
9/1/1975,23299
10/1/1975,23474
11/1/1975,23619
12/1/1975,23912
1/1/1976,23342
2/1/1976,23395
3/1/1976,23600
4/1/1976,23914
5/1/1976,24108
6/1/1976,24328
7/1/1976,24225
8/1/1976,24437
9/1/1976,24651
10/1/1976,24691
11/1/1976,24868
12/1/1976,25132
1/1/1977,24536
2/1/1977,24584
3/1/1977,24857
4/1/1977,25123
5/1/1977,25395
6/1/1977,25699
7/1/1977,25576
8/1/1977,25823
9/1/1977,26165
10/1/1977,26303
11/1/1977,26560
12/1/1977,26887
1/1/1978,26268
2/1/1978,26288
3/1/1978,26593
4/1/1978,26938
5/1/1978,27217
6/1/1978,27543
7/1/1978,27414
8/1/1978,27714
9/1/1978,27971
10/1/1978,28151
11/1/1978,28466
12/1/1978,28786
1/1/1979,28139
2/1/1979,28125
3/1/1979,28397
4/1/1979,28613
5/1/1979,28845
6/1/1979,29126
7/1/1979,28914
8/1/1979,29126
9/1/1979,29350
10/1/1979,29531
11/1/1979,29733
12/1/1979,29974
1/1/1980,29323
2/1/1980,29356
3/1/1980,29511
4/1/1980,29594
5/1/1980,29626
6/1/1980,29717
7/1/1980,29473
8/1/1980,29732
9/1/1980,29991
10/1/1980,30118
11/1/1980,30360
12/1/1980,30639
1/1/1981,30011
2/1/1981,30002
3/1/1981,30150
4/1/1981,30382
5/1/1981,30559
6/1/1981,30821
7/1/1981,30707
8/1/1981,30885
9/1/1981,31100
10/1/1981,31133
11/1/1981,31180
12/1/1981,31296
1/1/1982,30565
2/1/1982,30538
3/1/1982,30598
4/1/1982,30717
5/1/1982,30873
6/1/1982,31002
7/1/1982,30792
8/1/1982,30908
9/1/1982,31057
10/1/1982,31016
11/1/1982,31064
12/1/1982,31224
1/1/1983,30618
2/1/1983,30577
3/1/1983,30805
4/1/1983,31110
5/1/1983,31356
6/1/1983,31693
7/1/1983,31692
8/1/1983,31633
9/1/1983,32248
10/1/1983,32367
11/1/1983,32578
12/1/1983,32912
1/1/1984,32372
2/1/1984,32483
3/1/1984,32753
4/1/1984,33085
5/1/1984,33368
6/1/1984,33694
7/1/1984,33647
8/1/1984,33880
9/1/1984,34182
10/1/1984,34390
11/1/1984,34687
12/1/1984,34922
1/1/1985,34241
2/1/1985,34243
3/1/1985,34513
4/1/1985,34769
5/1/1985,35068
6/1/1985,35315
7/1/1985,35148
8/1/1985,35353
9/1/1985,35580
10/1/1985,35735
11/1/1985,35995
12/1/1985,36269
1/1/1986,35550
2/1/1986,35556
3/1/1986,35814
4/1/1986,36127
5/1/1986,36406
6/1/1986,36614
7/1/1986,36586
8/1/1986,36812
9/1/1986,37014
10/1/1986,37202
11/1/1986,37430
12/1/1986,37710
1/1/1987,36949
2/1/1987,37003
3/1/1987,37252
4/1/1987,37575
5/1/1987,37823
6/1/1987,38112
7/1/1987,38103
8/1/1987,38312
9/1/1987,38465
10/1/1987,38745
11/1/1987,38992
12/1/1987,39277
1/1/1988,38582
2/1/1988,38694
3/1/1988,38926
4/1/1988,39192
5/1/1988,39435
6/1/1988,39835
7/1/1988,39757
8/1/1988,39936
9/1/1988,40092
10/1/1988,40264
11/1/1988,40588
12/1/1988,40936
1/1/1989,40187
2/1/1989,40244
3/1/1989,40480
4/1/1989,40694
5/1/1989,40893
6/1/1989,41223
7/1/1989,41060
8/1/1989,41171
9/1/1989,41293
10/1/1989,41377
11/1/1989,41686
12/1/1989,41908
1/1/1990,41093
2/1/1990,41121
3/1/1990,41308
4/1/1990,41486
5/1/1990,41701
6/1/1990,42022
7/1/1990,41858
8/1/1990,42000
9/1/1990,42037
10/1/1990,42056
11/1/1990,42195
12/1/1990,42296
1/1/1991,41408
2/1/1991,41308
3/1/1991,41391
4/1/1991,41451
5/1/1991,41624
6/1/1991,41879
7/1/1991,41695
8/1/1991,41864
9/1/1991,41930
